2015.71233     33.01      1.02
2015.71507     34.15      0.90
2015.71781     38.95      3.17
2015.72603     33.60      1.02
2015.72877     31.02      0.92
2015.73151     31.32      0.97
2015.73425     31.77      0.96
2015.73699     32.44      0.97
2015.73973     29.41      1.06
2015.74247     35.52      1.01
2015.74521     30.44      1.02
2015.74795     30.80      0.98
2015.75068     31.31      0.90
2015.75342     29.31      0.90
2015.75616     31.66      0.90
2015.75890     32.68      0.93
2015.76164     32.13      0.94
2015.76438     29.93      0.90
2015.76712     29.48      0.92
2015.76986     31.42      0.91
2015.77260     30.72      0.89
2015.77534     31.85      0.90
2015.77808     30.23      0.89
2015.78082     34.31      0.90
2015.78356     30.26      0.94
2015.78630     33.06      0.86
2015.78904     32.23      0.88
2015.79178     31.93      0.87
2015.79452     31.88      0.89
2015.79726     32.51      0.94
2015.80000     33.29      0.92
2015.80274     30.10      0.94
2015.80548     30.88      0.91
2015.80822     32.38      0.88
2015.81096     32.29      0.94
2015.81370     28.43      0.88
2015.81644     31.20      0.91
2015.81918     32.21      0.88
2015.82192     30.37      0.88
2015.82466     34.55      0.90
2015.82740     34.55      0.87
2015.83014     28.99      0.93
2015.83288     32.31      0.93
2015.83562     33.10      0.90
2015.83836     31.66      0.89
2015.84110     32.65      0.88
2015.84384     34.48      0.87
2015.84658     33.14      0.86
2015.84932     31.14      0.90
2015.85205     33.52      0.89
2015.85479     32.41      0.89
2015.85753     32.60      0.89
2015.86027     31.94      0.90
2015.86301     32.61      0.90
2015.86575     33.65      0.91
2015.86849     32.64      0.90
2015.87123     32.42      0.90
2015.87397     33.88      0.89
2015.87671     32.78      0.89
2015.87945     29.58      0.90
2015.88219     28.48      0.91
2015.88493     33.37      0.94
2015.88767     30.35      0.90
2015.89041     30.64      0.90
2015.89315     30.04      0.89
2015.89589     31.44      0.90
2015.89863     31.49      0.90
2015.90137     33.53      0.90
2015.90411     31.79      0.88
2015.90685     32.39      0.90
2015.90959     34.02      0.90
2015.91233     33.87      0.88
2015.91507     32.88      0.90
2015.91781     32.78      0.88
2015.92055     31.12      0.89
2015.92329     32.66      0.89
2015.92603     31.50      0.90
2015.92877     32.00      0.89
2015.93151     32.88      0.88
2015.93425     32.23      0.88
2015.93699     30.54      0.91
2015.93973     31.35      0.93
2015.94247     32.37      0.91
2015.94521     31.41      0.88
2015.94795     31.53      0.88
2015.95068     30.04      0.89
2015.95342     29.90      0.88
2015.95616     30.54      0.88
2015.95890     30.94      0.90
2015.96164     30.33      0.91
2015.96438     32.05      0.87
2015.96712     31.58      0.89
2015.96986     31.20      0.89
2015.97260     31.30      0.87
2015.97534     29.09      0.86
2015.97808     31.56      0.88
2015.98082     31.66      0.89
2015.98356     31.53      0.88
2015.98630     31.71      0.88
2015.98904     31.69      0.88
2015.99178     30.70      0.89
2015.99452     31.02      0.87
2015.99726     31.65      0.88
2016.00000     29.36      0.88
2016.00273     30.86      0.89
2016.00546     29.90      0.92
2016.00820     30.57      0.89
2016.01093     29.98      0.88
2016.01366     29.45      0.93
2016.01639     29.88      0.92
2016.01913     31.43      0.95
2016.02186     30.41      0.92
2016.02459     29.90      0.90
2016.02732     30.08      0.92
2016.03005     28.34      0.92
2016.03279     28.01      0.94
2016.03552     29.67      0.91
2016.03825     31.08      0.93
2016.04098     29.42      0.95
2016.04372     31.22      0.95
2016.04645     30.32      0.91
2016.04918     30.38      0.90
2016.05191     30.22      0.91
2016.05464     29.66      0.91
2016.05738     27.37      0.90
2016.06011     28.12      0.91
2016.06284     28.68      0.90
2016.06557     28.47      0.93
2016.06831     29.93      0.92
2016.07104     29.53      0.93
2016.07377     30.67      0.93
2016.07650     32.67      0.99
2016.07923     31.45      0.93
2016.08197     28.65      0.96
2016.08470     30.31      0.93
2016.08743     31.27      0.91
2016.09016     30.92      0.90
2016.09290     29.50      0.96
2016.09563     32.96      0.90
2016.11475     45.13      0.93
2016.11749     43.68      0.93
2016.12842     44.98      0.93
2016.13115     43.48      0.90
2016.13661     44.50      0.91
2016.13934     42.96      0.96
2016.14208     43.61      0.90
2016.14481     42.99      0.90
2016.14754     41.61      0.90
2016.15027     41.92      0.89
2016.15301     41.98      0.93
2016.15574     42.73      0.94
2016.15847     41.20      0.91
2016.16120     42.94      0.90
2016.16393     41.60      0.90
2016.16667     42.47      0.91
2016.16940     43.52      0.91
2016.17213     41.78      0.96
2016.17486     41.50      0.94
2016.17760     41.03      0.92
2016.18033     39.45      0.91
2016.18306     41.95      0.97
2016.18579     42.09      0.96
2016.18852     41.87      0.95
2016.19126     43.29      0.88
2016.19399     42.29      0.88
2016.19672     42.34      0.94
2016.19945     40.79      0.91
2016.20219     38.79      0.90
2016.20492     41.80      0.92
2016.20765     41.87      0.93
2016.21038     39.50      0.93
2016.21311     41.56      0.92
2016.21585     39.48      0.92
2016.21858     41.60      0.91
2016.22131     39.24      0.91
2016.22404     42.21      0.95
2016.22678     41.44      0.89
2016.22951     40.50      0.89
2016.23224     39.67      0.90
2016.23497     39.56      0.91
2016.23770     39.24      0.89
2016.24044     40.49      0.92
2016.24317     39.55      0.92
2016.24590     38.08      0.91
2016.24863     37.77      0.91
2016.25137     39.98      0.91
2016.25410     39.50      0.89
2016.25683     39.84      0.91
2016.25956     37.00      0.90
2016.26230     38.62      0.90
2016.26503     37.85      0.91
2016.26776     39.52      0.92
2016.27049     42.81      0.91
2016.27322     40.76      0.95
2016.27596     39.25      0.92
2016.27869     36.84      0.94
2016.28142     40.27      0.95
2016.28415     41.46      1.03
2016.28689     38.24      0.92
2016.28962     36.55      0.91
2016.29235     39.05      0.92
2016.29508     39.45      0.91
2016.29781     39.26      0.92
2016.30055     38.75      0.94
2016.30328     37.60      0.91
2016.30601     40.48      0.89
2016.30874     40.20      0.93
2016.31148     38.06      0.93
2016.31421     36.35      0.91
2016.31694     38.14      0.92
2016.31967     37.16      0.92
2016.32240     37.48      0.90
2016.32514     37.43      0.92
2016.32787     37.40      0.90
2016.33060     39.59      0.92
2016.33333     35.62      0.91
2016.33607     37.18      0.93
2016.33880     36.95      0.92
2016.34153     36.01      0.92
2016.34426     37.53      0.92
2016.34699     38.38      0.91
2016.34973     37.92      0.90
2016.35246     38.05      0.92
2016.35519     38.93      0.93
2016.35792     37.09      0.95
2016.36066     37.67      0.92
2016.36339     32.95      0.95
2016.36612     36.56      0.94
2016.36885     36.51      0.91
2016.37158     36.11      0.92
2016.37432     34.55      0.91
2016.37705     36.01      0.90
2016.37978     35.44      0.91
2016.38251     35.35      0.91
2016.38525     37.39      0.91
2016.38798     36.95      0.97
2016.39071     32.07      0.95
2016.39344     36.04      0.93
2016.39617     37.01      0.94
2016.39891     35.57      0.92
2016.40164     38.18      0.93
2016.40437     33.93      0.90
2016.40710     36.39      0.91
2016.40984     37.69      0.93
2016.41257     33.68      0.90
2016.41530     34.53      0.90
2016.41803     34.74      0.91
2016.42077     36.82      0.90
2016.42350     35.38      0.92
2016.42623     38.54      0.96
2016.42896     36.78      0.91
2016.43169     34.19      1.02
2016.43443     33.43      0.95
2016.43716     33.65      0.94
2016.43989     36.67      0.93
2016.44262     34.93      0.92
2016.44536     35.21      0.95
2016.44809     35.64      0.97
2016.45082     33.36      0.93
2016.45355     36.84      0.94
2016.45628     36.24      0.92
2016.45902     34.79      0.91
2016.46175     35.00      0.91
2016.46448     34.93      0.93
2016.46721     33.07      0.91
2016.46995     32.78      0.91
2016.47268     33.58      0.90
2016.47541     33.63      0.93
2016.47814     32.05      0.96
2016.48087     32.24      0.96
2016.48361     33.94      0.95
2016.48634     35.03      0.90
2016.48907     34.98      0.93
2016.49180     33.77      0.93
2016.49454     35.68      0.95
2016.49727     32.64      0.94
2016.50000     32.44      0.93
2016.50273     37.12      0.97
2016.50546     33.62      0.94
2016.50820     34.57      0.91
2016.51093     34.12      0.93
2016.51366     30.97      0.95
2016.51639     31.62      1.01
2016.51913     35.68      0.95
2016.52186     34.22      0.94
2016.52459     35.68      0.99
2016.52732     31.11      0.96
2016.53005     33.42      0.92
2016.53279     33.11      0.92
2016.53552     31.41      0.92
2016.53825     32.67      0.94
2016.54098     31.98      0.95
2016.54372     27.91      0.95
2016.54645     34.24      0.94
2016.54918     28.04      0.95
2016.55191     28.95      0.92
2016.55464     27.28      0.98
2016.55738     29.80      0.94
2016.56011     29.61      0.97
2016.56284     32.27      0.91
2016.56557     31.06      0.92
2016.56831     32.16      0.91
2016.57104     33.00      0.95
2016.57377     33.07      0.95
2016.57650     33.71      0.94
2016.57923     30.79      0.95
2016.58197     29.83      0.93
2016.58470     31.43      0.90
2016.58743     29.78      0.91
2016.59016     30.72      0.94
2016.59290     31.03      0.90
2016.59563     28.86      0.94
2016.59836     29.14      0.99
2016.60109     32.03      0.97
2016.60383     28.72      0.98
2016.60656     28.20      0.94
2016.60929     29.35      0.95
2016.61202     30.54      0.89
2016.61475     29.73      0.92
2016.61749     29.73      0.94
2016.62022     31.05      0.95
2016.62295     29.17      0.98
2016.62568     31.88      0.92
2016.62842     30.41      0.93
2016.63115     29.23      0.99
2016.63388     27.49      0.95
2016.63661     28.35      0.94
2016.63934     27.86      0.96
2016.64208     28.44      0.92
2016.64481     30.34      0.97
2016.64754     30.17      0.94
2016.65027     25.79      0.98
2016.65301     29.88      0.99
2016.65574     29.05      0.97
2016.65847     26.93      0.94
2016.66120     27.57      0.91
2016.66393     29.30      0.93
2016.66667     29.08      0.96
2016.66940     23.71      1.19
2016.67213     28.19      0.95
2016.67486     25.33      0.96
2016.67760     28.88      1.06
2016.68033     30.18      1.00
2016.68306     27.41      1.03
2016.68579     28.25      1.00
2016.68852     28.09      0.94
2016.69126     27.97      0.91
2016.69399     27.03      0.96
2016.69672     26.93      0.95
2016.69945     25.86      0.94
2016.70219     29.76      1.05
2016.70492     27.38      0.96
2016.70765     26.66      0.98
2016.71038     25.59      0.96
2016.71311     26.57      0.92
2016.71585     21.77      0.94
2016.71858     26.86      0.93
2016.72131     25.74      0.90
2016.72404     24.32      0.96
2016.72678     24.40      0.98
2016.72951     26.79      0.95
2016.73224     27.23      0.92
2016.73497     25.26      0.94
2016.73770     24.10      0.95
2016.74044     23.73      1.04
2016.74317     23.40      0.96
2016.74590     26.38      0.92
2016.74863     24.09      0.93
2016.75137     25.36      0.92
2016.75410     25.99      0.92
2016.75683     23.05      0.95
2016.75956     24.20      0.95
2016.76230     23.16      0.93
2016.76503     24.24      0.94
2016.76776     26.11      0.94
2016.77049     26.61      0.96
2016.77322     26.89      0.91
2016.77596     24.98      0.96
2016.77869     24.48      0.93
2016.78142     23.31      0.93
2016.78415     22.54      0.91
