2005.97534     30.62      1.05
2005.97808     32.63      0.88
2005.98082     31.06      0.86
2005.99178     30.09      1.00
2005.99452     34.29      0.87
2005.99726     30.79      0.85
2006.00000     31.86      0.85
2006.00274     26.03      8.18
2006.00548     30.51      2.61
2006.00822     33.03      0.85
2006.01096     33.48      1.96
2006.01370     32.95      0.85
2006.01644     33.80      0.84
2006.01918     34.63      0.87
2006.02192     33.81      0.86
2006.02740     31.96      2.28
2006.03562     33.71      0.87
2006.04110     34.48      0.90
2006.04658     33.15      0.90
2006.06027     33.38      0.94
2006.08767     34.61      0.82
2006.09315     34.45      0.83
2006.09589     37.69      2.33
2006.10685     32.80      2.96
2006.10959     32.75      2.03
2006.11233     29.93      0.83
2006.12603     33.59      2.10
2006.12877     28.83      2.92
2006.13151     32.41      0.83
2006.13425     30.77      0.85
2006.13973     30.37      5.71
2006.14247     33.05      3.12
2006.14521     28.42      3.19
2006.14795     33.65      0.85
2006.15068     31.21      0.85
2006.15342     33.82      0.85
2006.15616     35.46      1.08
2006.15890     33.86      0.85
2006.16712     32.41      0.84
2006.16986     33.91      0.84
2006.17260     32.31      0.84
2006.17534     33.82      0.83
2006.17808     31.15      0.85
2006.18082     30.10      1.80
2006.18356     30.04      0.97
2006.18630     31.83      0.83
2006.19452     32.09      1.04
2006.19726     38.46      6.11
2006.20000     33.91      6.27
2006.20274     32.73      2.67
2006.20548     31.45      4.23
2006.20822     32.86      0.85
2006.21096     32.76      0.85
2006.22466     31.30      0.89
2006.22740     32.61      0.87
2006.41370     28.13      0.93
2006.41644     28.07      0.92
2006.41918     27.04      0.89
2006.42192     26.92      0.91
2006.42466     26.79      0.94
2006.42740     29.88      0.94
2006.43014     28.17      0.93
2006.43288     26.71      0.93
2006.43562     29.19      0.97
2006.43836     26.57      0.90
2006.44110     29.83      0.93
2006.44384     28.66      0.88
2006.44658     27.63      0.87
2006.44932     26.19      0.87
2006.45205     26.49      0.88
2006.45479     27.88      0.88
2006.45753     28.31      0.86
2006.46027     27.50      0.90
2006.46301     29.06      0.93
2006.46575     25.67      0.91
2006.46849     26.19      0.91
2006.47123     27.48      0.89
2006.47397     28.41      0.90
2006.47671     26.72      0.90
2006.47945     28.56      0.92
2006.48219     30.21      0.92
2006.48493     27.24      0.93
2006.48767     27.55      0.92
2006.49041     30.57      0.88
2006.49315     27.19      1.03
2006.49589     25.92      0.88
2006.49863     26.29      0.89
2006.50137     26.70      0.85
2006.50411     29.64      0.87
2006.50685     25.65      0.88
2006.50959     26.94      0.89
2006.51233     24.42      0.91
2006.51507     22.06      0.96
2006.51781     22.62      0.97
2006.52055     24.43      0.89
2006.52329     30.44      0.91
2006.52603     25.02      0.87
2006.52877     24.68      0.90
2006.53151     30.90      0.96
2006.53425     23.79      0.90
2006.53699     27.74      0.90
2006.53973     26.38      0.88
2006.54247     24.92      0.88
2006.54521     23.91      0.88
2006.54795     25.51      0.86
2006.55068     25.97      0.85
2006.55342     24.36      0.89
2006.55616     29.05      0.88
2006.55890     28.44      0.90
2006.56164     25.98      0.89
2006.56438     27.11      0.91
2006.56712     26.68      0.86
2006.56986     23.55      0.90
2006.57260     28.81      0.90
2006.57534     25.24      0.88
2006.57808     25.28      0.86
2006.58630     25.48      0.92
2006.58904     27.19      0.92
2006.59178     25.16      0.91
2006.59452     26.37      0.89
2006.59726     26.11      0.94
2006.60000     24.53      0.89
2006.60274     25.56      0.88
2006.60548     23.35      0.89
2006.60822     26.39      0.85
2006.61096     28.07      0.86
2006.61370     26.91      0.87
2006.61644     25.57      0.86
2006.61918     28.10      0.86
2006.62192     27.75      0.88
2006.62466     22.93      1.14
2006.62740     24.61      0.96
2006.63014     25.71      2.34
2006.79178     23.91      0.95
2006.79452     28.05      0.86
2006.79726     29.30      0.87
2006.80000     27.71      0.88
2006.80274     26.48      0.85
2006.80548     28.19      2.56
2006.80822     30.31      1.31
2006.81096     28.31      1.66
2006.81370     28.44      0.89
2006.81644     29.09      0.87
2006.81918     27.46      0.86
2006.82192     26.22      0.85
2006.82466     27.57      0.86
2006.82740     25.18      0.86
2006.83014     26.19      0.84
2006.83288     26.83      0.85
