2012.00000    -17.64       3.20
2012.00273    -19.73       3.22
2012.00546    -17.59       3.20
2012.00820    -15.69       3.22
2012.01093    -20.41       3.20
2012.01366    -20.80       3.19
2012.01639    -20.42       3.25
2012.01913    -16.11       3.21
2012.02186    -25.50       3.21
2012.02459    -18.07       3.22
2012.02732    -21.11       3.23
2012.03005    -19.85       3.23
2012.03279    -15.82       3.26
2012.03552     -7.66       3.23
2012.03825    -13.97       3.24
2012.04098    -15.34       3.28
2012.04372    -13.69       3.27
2012.04645    -15.57       3.31
2012.04918    -10.74       3.28
2012.05191    -12.57       3.26
2012.05464    -12.31       3.26
2012.05738    -18.23       3.31
2012.06011    -16.64       3.32
2012.06284    -13.44       3.31
2012.06557    -15.34       3.28
2012.06831    -19.91       3.25
2012.07104    -16.84       3.26
2012.07377    -13.96       3.24
2012.07650     -6.89       3.26
2012.07923    -14.01       3.22
2012.08197    -16.01       3.24
2012.08470    -13.97       3.29
2012.08743    -12.50       3.32
2012.09016    -12.75       3.22
2012.09290    -14.38       3.25
2012.09563     -8.11       3.28
2012.09836    -13.48       3.40
2012.10109     -8.60       3.48
2012.10383    -14.93       3.21
2012.10656    -14.03       3.31
2012.10929     -9.16       3.31
2012.11202    -11.26       3.30
2012.11475     -9.35       3.33
2012.11749     -6.38       3.38
2012.12022    -14.23       3.32
2012.12295     -8.41       3.33
2012.12568    -12.57       3.32
2012.12842    -16.99       3.31
2012.13115     -6.97       3.33
2012.13388    -11.98       3.33
2012.13661     -7.46       3.37
2012.13934    -14.82       3.43
2012.14208     -8.00       3.40
2012.14481    -14.77       3.37
2012.14754     -1.31       3.43
2012.15027    -15.83       3.24
2012.15301    -13.73       3.21
2012.15574    -11.41       3.22
2012.15847    -14.20       3.30
2012.16120    -11.02       3.25
2012.16393    -13.68       3.35
2012.16667     -8.77       3.36
2012.16940    -12.83       3.26
2012.17213    -12.07       3.27
2012.17486    -10.07       3.34
2012.17760    -17.04       3.28
2012.18033    -11.33       3.24
2012.18306    -11.79       3.41
2012.18579    -14.19       3.27
2012.18852    -13.54       3.32
2012.19126    -19.26       3.32
2012.19399    -16.96       3.42
2012.19672    -17.35       3.24
2012.19945    -14.41       3.25
2012.20219    -16.77       3.29
2012.20492    -13.22       3.33
2012.20765    -13.07       3.29
2012.21038    -15.96       3.28
2012.21311    -14.79       3.30
2012.21585     -9.89       3.26
2012.21858    -14.07       3.25
2012.22131    -10.21       3.31
2012.22404     -9.68       3.39
2012.22678    -15.22       3.33
2012.22951     -9.20       3.35
2012.23224    -17.05       3.51
2012.23497    -12.75       3.47
2012.23770    -14.78       3.35
2012.24044    -15.01       3.28
2012.24317    -11.21       3.37
2012.24590    -19.76       3.32
2012.24863    -14.46       3.33
2012.25137    -10.27       3.39
2012.25410    -10.90       3.26
2012.25683     -8.98       3.34
2012.25956    -14.55       3.22
2012.26230    -10.48       3.48
2012.26503    -13.26       3.42
2012.26776     -7.23       3.23
2012.27049    -12.53       3.36
2012.27322    -10.39       3.34
2012.27596     -7.91       3.35
2012.27869    -11.39       3.42
2012.28142     -6.78       3.31
2012.28415     -9.85       3.27
2012.28689    -12.34       3.32
2012.28962    -10.09       3.41
2012.29235    -13.02       3.38
2012.29508    -15.29       3.30
2012.29781    -21.34       3.41
2012.30055    -15.50       3.45
2012.30328    -10.55       3.46
2012.30601     -0.23       3.35
2012.30874    -15.37       3.46
2012.31148     -8.76       3.50
2012.31421    -26.56       3.62
2012.31694     -9.16       3.38
2012.31967    -13.33       3.56
2012.32240    -16.10       3.45
2012.32514     -2.36       3.59
2012.32787     -6.61       3.41
2012.33060     -7.44       3.50
2012.33333     -9.35       3.77
2012.33607    -11.26       3.60
2012.33880    -17.32       3.48
2012.34153    -13.18       3.37
2012.34426    -12.76       3.25
2012.34699    -15.46       3.40
2012.34973    -15.31       3.28
2012.35246     -8.30       3.31
2012.35519    -15.98       3.43
2012.35792    -13.91       3.30
2012.36066    -11.69       3.29
2012.36339    -11.01       3.28
2012.36612    -14.18       3.37
2012.36885    -12.85       3.38
2012.37158    -15.11       3.34
2012.37432    -14.04       3.41
2012.37705    -15.44       3.41
2012.37978    -12.65       3.60
2012.38251    -17.30       3.41
2012.38525    -17.82       3.37
2012.38798    -18.70       3.40
2012.39071    -18.28       3.42
2012.39344    -16.76       3.41
2012.39617    -18.32       3.33
2012.39891    -14.65       3.34
2012.40164    -17.33       3.44
2012.40437    -11.07       3.37
2012.40710     -4.24       3.47
2012.40984    -20.63       3.47
2012.41257    -18.73       3.28
2012.41530    -13.35       3.25
2012.41803    -13.61       3.26
2012.42077    -12.43       3.30
2012.42350    -12.33       3.26
2012.42623     -5.95       3.30
2012.42896     -4.06       3.35
2012.43169     -6.58       3.36
2012.43443      1.41       3.41
2012.43716    -16.33       3.77
2012.43989     -6.88       3.43
2012.44262    -12.54       3.45
