GS29 120.31755 23.07537 10.18
GS32 120.33584 23.02714 7.76
GS88 120.34801 23.06852 32.11
GS89 120.31271 23.03402 30.47
S106 120.33409 23.05079  23.60
HHLA 120.2996 23.0551    5.56
HHHS 120.3122 23.0344   33.94
HHAR 120.3455 23.0588    26.61
NBES 120.3498 23.0688   14.76
SHWA 120.34781 23.02143 48.93
