GS29 120.31755 23.07537  21.73 -24.08
GS32 120.33584 23.02714  -45.53 7.12
GS88 120.34801 23.06852 -33.40 -5.71
GS89 120.31271 23.03402  11.69 -3.17
S106 120.33409 23.05079 -22.58 11.53
HHLA 120.2996 23.0551    15.06   3.93
HHHS 120.3122 23.0344    33.13 -11.05
HHAR 120.3455 23.0588   -26.42  12.41
NBES 120.3498 23.0688   -36.26 -28.96
SHWA 120.34781 23.02143 -11.19 -6.47
